event_date,close_price_usd,market_cap_usd,volume_usd
2025-02-12 00:00:00 UTC,32.67225910497607,527094443.63704854,65009665.426500134
2025-02-13 00:00:00 UTC,32.453937006658414,519146249.77214944,44436155.058718905
2025-02-14 00:00:00 UTC,32.9891049774116,515494789.4879363,36450131.82930254
2025-02-15 00:00:00 UTC,32.15265847920654,524480229.0367151,30007401.143590428
2025-02-16 00:00:00 UTC,34.55753810063775,511122302.7694273,20050936.074132062
2025-02-17 00:00:00 UTC,36.300806577509384,549918934.7061007,68244540.17656739
2025-02-18 00:00:00 UTC,33.912584906418516,577205838.4251113,79835346.0177938
2025-02-19 00:00:00 UTC,36.179447797848994,539166902.0552642,74047744.13831417
2025-02-20 00:00:00 UTC,36.58256286996431,575495347.5847234,33309485.034183327
2025-02-21 00:00:00 UTC,35.03922848109709,581731636.9924434,34852964.306261495
2025-02-22 00:00:00 UTC,35.89597289409951,558953547.6436498,35128472.37999335
2025-02-23 00:00:00 UTC,35.92331100251512,576214661.7632118,22994547.436393924
2025-02-24 00:00:00 UTC,33.11590528377563,572300122.3291614,23530058.88520833
2025-02-25 00:00:00 UTC,33.45671100319188,526587006.7800571,78223953.53454989
2025-02-26 00:00:00 UTC,36.10645653456243,536210281.0428216,55424003.54074297
2025-02-27 00:00:00 UTC,36.5195392763115,574034678.2313229,82122683.84830031
2025-02-28 00:00:00 UTC,37.53931579048835,581384939.4386413,67804501.0522193
2025-03-01 00:00:00 UTC,37.93111214372574,597550946.9734044,48151969.84902615
2025-03-02 00:00:00 UTC,41.1318188416407,603023460.9776152,70052780.64771482
2025-03-03 00:00:00 UTC,36.303256009071205,659546587.0056324,96011376.69725366
2025-03-04 00:00:00 UTC,34.95435505383804,577628486.6239313,43226461.26318473
2025-03-05 00:00:00 UTC,36.37249175385839,557217860.5664613,39434095.20486775
2025-03-06 00:00:00 UTC,34.0470470047125,578576290.0976439,32186992.42214613
2025-03-07 00:00:00 UTC,32.9001897519027,542489746.2546281,26819373.126610626
2025-03-08 00:00:00 UTC,32.58871863079771,524727029.01790136,32423904.160038687
2025-03-09 00:00:00 UTC,29.971847641999048,518921136.2994372,18304276.68574958
2025-03-10 00:00:00 UTC,29.332997288096067,479333772.64911294,56568733.87963921
2025-03-11 00:00:00 UTC,30.331817009571814,471131609.70236325,63020634.009101234
2025-03-12 00:00:00 UTC,30.34661537970216,483057610.22662264,35880084.95015109
2025-03-13 00:00:00 UTC,30.921279705223764,484661824.52693856,64619590.476000816
2025-03-14 00:00:00 UTC,32.442209496255664,493143199.9558298,61621942.93795552
2025-03-15 00:00:00 UTC,32.422758759433435,517359544.935983,64280952.24615551
2025-03-16 00:00:00 UTC,32.76732042573585,517464142.4411603,55482875.14574328
2025-03-17 00:00:00 UTC,34.17411980045938,522920511.16045666,24825986.621741176
2025-03-18 00:00:00 UTC,33.44827285010645,545784155.5571862,24678093.31708608
2025-03-19 00:00:00 UTC,34.41362483578062,534885728.7927086,57919087.26060737
2025-03-20 00:00:00 UTC,33.859454756761856,548549397.8221574,25138730.02825103
2025-03-21 00:00:00 UTC,31.03648162393338,541616863.211843,63178017.292251095
2025-03-22 00:00:00 UTC,31.225370358862996,495722850.3773584,69248827.25604302
2025-03-23 00:00:00 UTC,31.067433766115844,496470554.8981016,62713189.48298253
2025-03-24 00:00:00 UTC,32.4184266043379,494882820.7912438,22881736.2892922
2025-03-25 00:00:00 UTC,36.564922827637496,516364647.7097119,64123741.25072957
2025-03-26 00:00:00 UTC,38.76169583143837,586187102.7036387,85843096.63042173
2025-03-27 00:00:00 UTC,37.29974375798179,618669559.0963732,85553884.44661903
2025-03-28 00:00:00 UTC,36.90169008123976,595844181.2553284,48708743.54062499
2025-03-29 00:00:00 UTC,36.06540762923371,588233113.4475551,69340039.52439573
